status,n_output_raw,n_output_roi,n_output_eval,n_laser_eval,accuracy_mm,completeness_mm,accuracy_p95_mm,completeness_p95_mm,precision_1mm,recall_1mm,fscore_1mm,E_sym_mm,coverage_laser_points,voxel_mm,arm,roi_id,seconds,ply_sha256,kind,scene_id
SCORED,24537,23859,23859,183743,1.5219371627248004,12.581663522333448,4.364576838355466,52.27548813836504,0.5154449054863992,0.12184409746221625,0.19709713806422463,7.051800342529124,183743,0.8,v25_depth_cc,scan37_scissor_cross,0.7638952769993921,f1b6f8c7ca5897e59efe24556f84a6416a04cffa09ec3ff5538b80b5f75f9425,structure,37
SCORED,111346,100390,53686,183743,0.6272836624026503,8.441741530562068,1.7946705591117436,51.094588059029945,0.896825988153336,0.4680450411716365,0.6150836929356188,4.534512596482359,183743,0.8,v25_gated_move,scan37_scissor_cross,0.8903164900038973,457610eb3b45bd755be55c61b947327274c071ddd112ba6b1f1c63fa573776fe,structure,37
SCORED,101502,76322,74982,116101,0.881662602601494,0.7763750509374092,3.41912089096575,2.0701226237583854,0.8247045957696514,0.8336879096648607,0.8291719219486728,0.8290188267694516,116101,0.8,identity,scan37_clamp_jaw,0.508251236002252,59dab8934219c75d35048b7663b7df7064d303af03b1216270d72edcb0c46103,structure,37
SCORED,19578,14832,14832,116101,9.051123579857798,5.127304418414838,30.296768810569276,11.530252651331734,0.14859762675296656,0.04061119197939725,0.06378906425375101,7.089213999136318,116101,0.8,fusion_wta,scan37_clamp_jaw,0.5439215619990136,1752d7c34ff2f692f60e8ead64bd5c3803649c5d6738c34ed47ffd4c2d42c801,structure,37
SCORED,11567,8962,8703,116101,5.445381620717211,32.035291351376664,16.923778621117705,71.43114152136846,0.16431115707227392,0.017700105942239946,0.03195763646164427,18.74033648604694,116101,0.8,restricted_single,scan37_clamp_jaw,1.2308184959983919,7f0519735c4cb2ed2dc828b4c49b8d133b347fe3a1093fdcf21f0d7aa436fc40,structure,37
SCORED,101502,78201,13715,116101,1.190386151598616,2.8539051515742386,4.884076479640703,5.669081541467777,0.7012759752096245,0.17064452502562424,0.27449499276422684,2.0221456515864276,116101,0.8,restricted_point_move,scan37_clamp_jaw,0.4079766880022362,85edafbb3f18a4d30f38021a8ea958145bbc79cf5576f4a24f8a0e392345820f,structure,37
SCORED,48325,39214,37818,116101,7.7397139092308,13.7694419223454,20.689038581411772,31.213373816660027,0.12599820191443228,0.07516731122040292,0.09416073271132917,10.7545779157881,116101,0.8,v25_atlas,scan37_clamp_jaw,1.3589752830012003,f762702e9de5b924077fc20f8b85f521f61b8b1b0b6ce23998c982b8fdee0e11,structure,37
SCORED,31164,23835,23097,116101,5.618762133945993,12.893256192552064,16.645126297288,41.93558106395515,0.13464952158288956,0.043677487704670934,0.06595919313481956,9.25600916324903,116101,0.8,v25_wta_atlas,scan37_clamp_jaw,0.6189530979972915,dacffec5bacbcd0421d92aa3d1c40dcb190f915731d8157e520140dc4854c968,structure,37
SCORED,8652,6754,6754,116101,5.796585924778304,12.532534584527458,23.82528259707782,30.78493447836719,0.22179449215279834,0.024754308748417327,0.0445377898199441,9.16456025465288,116101,0.8,v25_depth_cc,scan37_clamp_jaw,0.47074288799922215,5b5509a0402ce24c90ef5f36bf0847233710d3a7e9574be0769a7e03e4f819bb,structure,37
SCORED,101502,77509,29571,116101,1.0120622992897388,2.5850637589967893,4.036382309857639,7.158473568973512,0.7586824929829901,0.35521657866857304,0.4838797451434849,1.798563029143264,116101,0.8,v25_gated_move,scan37_clamp_jaw,0.44269399200129556,dc22c15b89e03e74d1707210215b476ba70a645328e1dafcd216aa72937c2f48,structure,37
