case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm13,confirmation,multiscale_consensus,OK,663,1727,0.2538955117436002,0.429833420326158,0.3568889347487521,1.0,0.9988419224088014,0.9994206257242179,0.04425326819097208
s37_confirm13,confirmation,multiscale_matched,OK,663,1727,0.25345010623203557,0.4313135838905107,0.3563399711395972,1.0,0.9988419224088014,0.9994206257242179,0.044253268190971945
s37_confirm14,confirmation,identity,OK,644,713,0.4421648328218414,0.8651508554024466,0.46177566775392853,0.9658385093167702,0.9733520336605891,0.9695807156606643,0.0
s37_confirm14,confirmation,v18,OK,644,713,0.44293199700586544,0.8347657703000331,0.4630126448521645,0.9751552795031055,0.9761570827489481,0.9756559239632674,0.13755796582413804
s37_confirm14,confirmation,apss2,OK,644,713,0.44103094260375186,0.8528776080208913,0.4677928831536138,0.967391304347826,0.9733520336605891,0.9703625152193551,0.03380572953442412
s37_confirm14,confirmation,rimls2,OK,644,713,0.4427607449093482,0.860936114825189,0.46878921315981376,0.967391304347826,0.9733520336605891,0.9703625152193551,0.031803391441346765
s37_confirm14,confirmation,local_plane64,OK,644,713,0.43326891015948255,0.7929638551951521,0.46854830762002886,0.9736024844720497,0.9747545582047685,0.9741781807247905,0.15359018911915218
s37_confirm14,confirmation,quadratic64,OK,644,713,0.4375792885354955,0.8416349863306615,0.4747467021325556,0.9704968944099379,0.967741935483871,0.9691174570357928,0.0983846761668703
s37_confirm14,confirmation,multiscale_full,OK,644,713,0.4355622595657516,0.8459080306423623,0.47230326181519106,0.9704968944099379,0.967741935483871,0.9691174570357928,0.09836290250239463
s37_confirm14,confirmation,multiscale_consensus,OK,644,713,0.4382953547843052,0.8474037556268208,0.47256959373186685,0.9704968944099379,0.967741935483871,0.9691174570357928,0.07658105445242638
s37_confirm14,confirmation,multiscale_matched,OK,644,713,0.4362639490487543,0.8480437697896923,0.47140323320672217,0.968944099378882,0.967741935483871,0.968342644320298,0.07658105445242605
s37_confirm15,confirmation,identity,OK,670,1170,0.3089723559597218,0.6293179806887618,0.3824731192529403,0.9940298507462687,0.9897435897435898,0.9918820896674126,0.0
s37_confirm15,confirmation,v18,OK,670,1170,0.31973865593485756,0.69820002976308,0.3749455378482306,0.991044776119403,0.9897435897435898,0.9903937555546969,0.24642612510064837
s37_confirm15,confirmation,apss2,OK,670,1170,0.3082430525742486,0.6247313101476029,0.38447104193818904,0.9925373134328358,0.9897435897435898,0.9911384829237214,0.02110864725723593
s37_confirm15,confirmation,rimls2,OK,670,1170,0.30960254241980595,0.6245540117905407,0.3868675168269792,0.9925373134328358,0.9897435897435898,0.9911384829237214,0.021443592215943927
s37_confirm15,confirmation,local_plane64,OK,670,1170,0.2906975013144617,0.6353575038840472,0.35716414889330145,0.9925373134328358,0.9897435897435898,0.9911384829237214,0.08423502960183307
s37_confirm15,confirmation,quadratic64,OK,670,1170,0.30720104367941714,0.6130293131573061,0.38544469580379315,0.9925373134328358,0.9888888888888889,0.9907097422162706,0.057038518551922913
