key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_veto_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_veto_projection,twosheet_back,1000,0.023022455022500814
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_veto_projection,twosheet_front,1000,-0.0005620142094860697
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_projection,base,15425,0.0924591742032227
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_projection,big,2035,-0.27490653837868795
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_projection,twosheet_back,1000,0.0670048569088674
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_projection,twosheet_front,1000,0.004929095024196858
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_argmin,base,15425,0.1265648998627928
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_argmin,big,2035,-0.28118245796443
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_argmin,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_argmin,twosheet_back,1000,0.07118926640967069
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor1_argmin,twosheet_front,1000,0.00719304950647212
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor2_projection,base,15425,0.039497754353779044
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor2_projection,big,2035,-0.2385780350959464
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor2_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor2_projection,twosheet_back,1000,0.043151126449538404
confirmation_seed702_fbig0.10_sfm,0.1,sfm,anchor2_projection,twosheet_front,1000,0.001221170019043907
confirmation_seed703_fbig0.01_exch,0.01,exch,identity,base,17266,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,identity,big,194,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,identity,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,identity,twosheet_back,1000,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,identity,twosheet_front,1000,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,test_projection,base,17266,0.034420811314140085
confirmation_seed703_fbig0.01_exch,0.01,exch,test_projection,big,194,-0.026336613287603693
confirmation_seed703_fbig0.01_exch,0.01,exch,test_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,test_projection,twosheet_back,1000,0.17047997628694841
confirmation_seed703_fbig0.01_exch,0.01,exch,test_projection,twosheet_front,1000,0.000306006980610643
confirmation_seed703_fbig0.01_exch,0.01,exch,test_veto_projection,base,17266,-0.00481311663803373
confirmation_seed703_fbig0.01_exch,0.01,exch,test_veto_projection,big,194,-0.014162473383472181
confirmation_seed703_fbig0.01_exch,0.01,exch,test_veto_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_back,1000,0.01964268591152202
confirmation_seed703_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_front,1000,-0.0002923161638312537
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_projection,base,17266,-0.000875033692134167
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_projection,big,194,-0.023761309401129995
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_back,1000,0.04689966786017959
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_front,1000,-2.5883128949442114e-07
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_argmin,base,17266,0.005347393944424361
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_argmin,big,194,-0.024885160685905475
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_argmin,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_back,1000,0.05114656232359253
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_front,1000,0.000408372236013677
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor2_projection,base,17266,-0.0032708866832960146
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor2_projection,big,194,-0.021357444416821175
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor2_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_back,1000,0.031331324750841404
confirmation_seed703_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_front,1000,-4.5254116566998733e-05
confirmation_seed703_fbig0.01_sfm,0.01,sfm,identity,base,17266,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,identity,big,194,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,identity,misfit,540,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,identity,twosheet_back,1000,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,identity,twosheet_front,1000,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_projection,base,17266,0.35808800092025994
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_projection,big,194,-0.031460421646116184
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_projection,twosheet_back,1000,0.2234433713164999
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_projection,twosheet_front,1000,0.012264657502578095
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_veto_projection,base,17266,-0.006350308578744807
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_veto_projection,big,194,-0.014289419572781622
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_veto_projection,misfit,540,0.0
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_veto_projection,twosheet_back,1000,0.019106330578374082
confirmation_seed703_fbig0.01_sfm,0.01,sfm,test_veto_projection,twosheet_front,1000,-0.0005128269958419649
