key,phase,seed,fbig,calibration,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,twosheet_front:single,1000,100,20,80,0.1,0.02,0.2,2.8358718135828553,13.092411730422155,0.17095302796932726,0.14291759588817426,0.18120163021260266,0.15317413580501357,-0.010256539916839297,-0.0005128269958419649,0.052
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,mm,2675,2,2,0,0.0007476635514018691,0.0007476635514018691,1.0,7.677151187863917,0.0,3.8605083501304454,0.2102201365283524,0.5279912383904865,0.20735017346746865,0.002869963060883707,0.00038385755939319586,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,single,17325,1675,349,1326,0.09668109668109669,0.020144300144300145,0.2083582089552239,454.1443992030351,502.7460417707853,0.3699072796997631,0.20314077038907627,0.6008341866762125,0.20594606000337642,-0.002805289614300158,-0.0024300821283875116,0.051832611832611834
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,ALL,20000,4608,2170,2438,0.2304,0.1085,0.4709201388888889,4191.075748549389,954.221366194601,5.969249150927336,0.36797657929693817,1.2329957968765037,0.20613386017919874,0.1618427191177394,0.1618427191177394,0.08195
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,base,17266,4016,1821,2195,0.23259585312174216,0.10546739256341944,0.45343625498007967,2757.820953590942,377.33557891989796,5.723404888747437,0.29784855847155056,1.0569107664397652,0.15997728691641078,0.1378712715551398,0.11902426873355221,0.083342986215684
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,base:mm,2646,515,260,255,0.1946334089191232,0.0982615268329554,0.5048543689320388,593.7089362691161,41.91802041372158,6.6520789624738805,0.37104403454506807,1.222357526455457,0.16250627345081464,0.20853776109425343,0.02758954579276973,0.060090702947845805
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,base:single,14620,3501,1561,1940,0.23946648426812586,0.10677154582763337,0.4458726078263353,2164.112017321826,335.4175585061764,4.650055961124102,0.28460127873895646,1.024114927834149,0.1595195784095686,0.1250817003293878,0.09143472294078249,0.08755129958960328
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,big,194,130,6,124,0.6701030927835051,0.030927835051546393,0.046153846153846156,17.72278922609646,557.2559296062293,0.0,2.168320362567508,3.3878547483973747,4.949419024320771,-2.781098661753262,-0.026976657019006645,0.6082474226804123
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,big:mm,29,14,4,10,0.4827586206896552,0.13793103448275862,0.2857142857142857,9.221025620126925,23.220631251696563,3.742902733902172,3.8162244428639127,4.394390160158968,4.298969464642176,-0.48274502177826345,-0.000699980281578482,0.20689655172413793
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,anchor1_projection,big:single,165,116,2,114,0.703030303030303,0.012121212121212121,0.017241379310344827,8.501763605969533,534.0352983545326,0.0,1.8786887363335947,3.178180648754061,5.063740462082463,-3.1850517257488677,-0.02627667673742816,0.6787878787878788
