case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
primary,mux_02,multiplexer,60996,fixed_prefix,2,0|1|2|3,1|1|1|1,,0.25,4,2.0,2,2.0,6.649001079495065e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
primary,mux_02,multiplexer,60996,adaptive,3,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,8.556700049666688e-05,"{""cache_hits"": 88, ""query_candidates"": 76, ""states"": 65, ""terminal_evaluations"": 65}"
primary,mux_02,multiplexer,60996,open_loop,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.275699939171318e-05,"{""subsets_evaluated"": 15, ""terminal_evaluations"": 65, ""tree_nodes"": 115}"
primary,mux_02,multiplexer,60996,fixed_prefix,3,0|1|2|3,1|1|1|1,,0.25,4,3.0,3,3.0,8.972998330136761e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_02,multiplexer,60996,adaptive,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,4,3.0,0.00011259300117671955,"{""cache_hits"": 136, ""query_candidates"": 108, ""states"": 81, ""terminal_evaluations"": 81}"
primary,mux_02,multiplexer,60996,open_loop,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.6908000513212755e-05,"{""subsets_evaluated"": 16, ""terminal_evaluations"": 81, ""tree_nodes"": 146}"
primary,mux_02,multiplexer,60996,fixed_prefix,4,0|1|2|3,1|1|1|1,,0.0,0,4.0,4,4.0,1.2050000805174932e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 16, ""tree_nodes"": 31}"
nonunit_costs,mux_02,multiplexer,60996,adaptive,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,8.29599957796745e-06,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
nonunit_costs,mux_02,multiplexer,60996,open_loop,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,9.605999366613105e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_02,multiplexer,60996,fixed_prefix,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,4.6770001063123345e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_02,multiplexer,60996,adaptive,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.1338001058902591e-05,"{""cache_hits"": 0, ""query_candidates"": 1, ""states"": 3, ""terminal_evaluations"": 3}"
nonunit_costs,mux_02,multiplexer,60996,open_loop,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.0830999599420466e-05,"{""subsets_evaluated"": 2, ""terminal_evaluations"": 3, ""tree_nodes"": 4}"
nonunit_costs,mux_02,multiplexer,60996,fixed_prefix,1,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.55600126972422e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_02,multiplexer,60996,adaptive,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.2277001587790437e-05,"{""cache_hits"": 0, ""query_candidates"": 2, ""states"": 5, ""terminal_evaluations"": 5}"
nonunit_costs,mux_02,multiplexer,60996,open_loop,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.1649999578366987e-05,"{""subsets_evaluated"": 3, ""terminal_evaluations"": 5, ""tree_nodes"": 7}"
nonunit_costs,mux_02,multiplexer,60996,fixed_prefix,2,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.545000021811575e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_02,multiplexer,60996,adaptive,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,3,1.5,2.384899926255457e-05,"{""cache_hits"": 4, ""query_candidates"": 7, ""states"": 11, ""terminal_evaluations"": 11}"
nonunit_costs,mux_02,multiplexer,60996,open_loop,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.4310000551631674e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 11, ""tree_nodes"": 17}"
nonunit_costs,mux_02,multiplexer,60996,fixed_prefix,3,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,6.751000910298899e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
nonunit_costs,mux_02,multiplexer,60996,adaptive,4,0|1|2|3,1|2|3|4,,0.25,4,2.0,3,1.5,2.531300015107263e-05,"{""cache_hits"": 8, ""query_candidates"": 12, ""states"": 17, ""terminal_evaluations"": 17}"
nonunit_costs,mux_02,multiplexer,60996,open_loop,4,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.7358999684802257e-05,"{""subsets_evaluated"": 7, ""terminal_evaluations"": 17, ""tree_nodes"": 27}"
nonunit_costs,mux_02,multiplexer,60996,fixed_prefix,4,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,6.996999218245037e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
missing_sensor,mux_02,multiplexer,60996,adaptive,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,3.709399970830418e-05,"{""cache_hits"": 28, ""query_candidates"": 27, ""states"": 27, ""terminal_evaluations"": 27}"
missing_sensor,mux_02,multiplexer,60996,open_loop,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,2.2678999812342227e-05,"{""subsets_evaluated"": 8, ""terminal_evaluations"": 27, ""tree_nodes"": 46}"
missing_sensor,mux_02,multiplexer,60996,fixed_prefix,4,1|2|3,1|1|1|1,0,0.25,4,3.0,3,3.0,1.21770008263411e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_03,multiplexer,4539,adaptive,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,1.200400038214866e-05,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
primary,mux_03,multiplexer,4539,open_loop,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,1.2837999747716822e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_03,multiplexer,4539,fixed_prefix,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,4.696999894804321e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_03,multiplexer,4539,adaptive,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.715600046736654e-05,"{""cache_hits"": 0, ""query_candidates"": 4, ""states"": 9, ""terminal_evaluations"": 9}"
primary,mux_03,multiplexer,4539,open_loop,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.4987001122790389e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 9, ""tree_nodes"": 13}"
primary,mux_03,multiplexer,4539,fixed_prefix,1,0|1|2|3,1|1|1|1,,0.5,8,1.0,1,1.0,5.664998752763495e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
primary,mux_03,multiplexer,4539,adaptive,2,0|1|2|3,1|1|1|1,,0.0,0,2.0,2,2.0,4.215300032228697e-05,"{""cache_hits"": 24, ""query_candidates"": 28, ""states"": 33, ""terminal_evaluations"": 33}"
primary,mux_03,multiplexer,4539,open_loop,2,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.6463998437975533e-05,"{""subsets_evaluated"": 11, ""terminal_evaluations"": 33, ""tree_nodes"": 55}"
primary,mux_03,multiplexer,4539,fixed_prefix,2,0|1|2|3,1|1|1|1,,0.25,4,2.0,2,2.0,7.0090009103296325e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
primary,mux_03,multiplexer,4539,adaptive,3,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,9.121099901676644e-05,"{""cache_hits"": 88, ""query_candidates"": 76, ""states"": 65, ""terminal_evaluations"": 65}"
primary,mux_03,multiplexer,4539,open_loop,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.314199941291008e-05,"{""subsets_evaluated"": 15, ""terminal_evaluations"": 65, ""tree_nodes"": 115}"
primary,mux_03,multiplexer,4539,fixed_prefix,3,0|1|2|3,1|1|1|1,,0.25,4,3.0,3,3.0,8.967999747255817e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_03,multiplexer,4539,adaptive,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,4,3.0,0.00011268999878666364,"{""cache_hits"": 136, ""query_candidates"": 108, ""states"": 81, ""terminal_evaluations"": 81}"
primary,mux_03,multiplexer,4539,open_loop,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.992600042896811e-05,"{""subsets_evaluated"": 16, ""terminal_evaluations"": 81, ""tree_nodes"": 146}"
